行政區,店名,地址,電話,坐標(緯度),坐標(經度)
東區,大人物書店,嘉義市東區體育路29號,05-2282648,23.4718747,120.4607824
東區,三福書城,嘉義市東區和平路227號,05-2280377,23.4779863,120.4573471
東區,天才書局,嘉義市東區大業街97號,05-2289560,23.4624972,120.4532138
東區,金冠文化廣場,嘉義市東區民族路90號,05-2711669,23.476856,120.4594929
東區,金石堂書店,嘉義市東區忠孝路600號4樓,05-2773490,23.4965197,120.4525821
東區,洪雅書房,嘉義市東區長榮街116號,05-2776540,23.4841924,120.4541764
東區,承億小鎮慢讀,嘉義市東區中山路203號,05-2246000,23.4811328,120.4526012
東區,勇氣書房,嘉義市東區啟明路136號,05-2773357,23.4784367,120.4624292
東區,書田二手書店,嘉義市東區忠孝路570-1號,0915-772518,23.495141,120.452695
東區,臺灣圖書室,嘉義市東區中山路255號,05-2228831,23.4805482,120.4512283
東區,聯成書局,嘉義市東區義教街688號,05-2769961,23.4984985,120.4543086
東區,龍瀚書局,嘉義市東區中山路77號,05-2788890,23.4819795,120.4585397
西區,米琦書局,嘉義市西區北社尾路47號,05-2382045,23.4917998,120.4284372
西區,成大舊書店,嘉義市西區國華街60號,05-2232555,23.4735143,120.4492937
西區,杭州書店,嘉義市西區杭州三街66號,05-2869204,23.4664628,120.4452127
西區,朗朗書店,嘉義市西區民生北路116號2樓,05-2290116,23.4767659,120.4466329
西區,島呼冊店,嘉義市西區北興街86號,05-2311031,23.4834866,120.4428981
西區,陽光書局,嘉義市西區民生南路349號,05-2859022,23.4613915,120.444017
西區,達摩二手書坊,嘉義市西區新榮路323號,05-2167988,23.4790623,120.444061
西區,義豐書局,嘉義市西區民族路881號,05-2221816,23.4748592,120.4386229
西區,墊腳石圖書文化廣場 嘉義店,嘉義市西區中山路583號,05-2273928,23.4778754,120.4408611
西區,德安書局,嘉義市西區德安路35號,05-2338805,23.4839524,120.4325974
西區,學人書局,嘉義市西區民生南路359號,05-2858231,23.46115,120.4439249
西區,鴻圖書局,嘉義市西區中山路370號,05-2232080,23.4796567,120.4468216
